date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:10:18	34457/34457	---M--	200	added ('OK')	image/jpeg	etag:%220b2b84fe094acfa5c55b5a68d75697cc%22	https://uploads-ssl.webflow.com/5ea9bcda01ba9a2ecbb81e43/5ea9bcda01ba9a50aeb81f09_photo-1444090542259-0af8fa96557e-square700.jpg	C:/Users/Mansi/Desktop/Mansi_Resume/colorrituals/colorrituals/uploads-ssl.webflow.com/5ea9bcda01ba9a2ecbb81e43/5ea9bcda01ba9a50aeb81f09_photo-1444090542259-0af8fa96557e-square700.jpg	(from http://colorrituals.webflow.io/)
10:10:18	19835/19835	---M-Z	200	added ('OK')	text/html	date:Mon,%2022%20Jun%202020%2008:10:24%20GMT	http://colorrituals.webflow.io/photos/night	C:/Users/Mansi/Desktop/Mansi_Resume/colorrituals/colorrituals/colorrituals.webflow.io/photos/night.html	(from http://colorrituals.webflow.io/)
10:11:15	19979/19979	---M-Z	200	added ('OK')	text/html	date:Mon,%2022%20Jun%202020%2008:10:26%20GMT	http://colorrituals.webflow.io/photos/art	C:/Users/Mansi/Desktop/Mansi_Resume/colorrituals/colorrituals/colorrituals.webflow.io/photos/art.html	(from http://colorrituals.webflow.io/)
10:11:16	146529/146529	---M--	200	added ('OK')	image/jpeg	etag:%22253a2aa8b2f851d4bc812b23e38fc5f5%22	https://uploads-ssl.webflow.com/5ea9bcda01ba9a2ecbb81e43/5ea9bcda01ba9a23ebb81f0b_photo-1432251407527-504a6b4174a2-square700.jpg	C:/Users/Mansi/Desktop/Mansi_Resume/colorrituals/colorrituals/uploads-ssl.webflow.com/5ea9bcda01ba9a2ecbb81e43/5ea9bcda01ba9a23ebb81f0b_photo-1432251407527-504a6b4174a2-square700.jpg	(from http://colorrituals.webflow.io/)
10:11:18	19797/19797	---M-Z	200	added ('OK')	text/html	date:Mon,%2022%20Jun%202020%2008:11:23%20GMT	http://colorrituals.webflow.io/photos/play	C:/Users/Mansi/Desktop/Mansi_Resume/colorrituals/colorrituals/colorrituals.webflow.io/photos/play.html	(from http://colorrituals.webflow.io/)
10:11:18	52316/52316	---M--	200	added ('OK')	image/jpeg	etag:%22cb582e130b361a02bfda3cb9c94a11a5%22	https://uploads-ssl.webflow.com/5ea9bcda01ba9a2ecbb81e43/5ea9bcda01ba9a4a7fb81f10_photo-1433155327100-12aac6a14ff1-square700.jpg	C:/Users/Mansi/Desktop/Mansi_Resume/colorrituals/colorrituals/uploads-ssl.webflow.com/5ea9bcda01ba9a2ecbb81e43/5ea9bcda01ba9a4a7fb81f10_photo-1433155327100-12aac6a14ff1-square700.jpg	(from http://colorrituals.webflow.io/)
10:11:19	20442/20442	---M--	200	added ('OK')	image/jpeg	etag:%22b91d597750cad1e39343a9fbf0765ec1%22	https://uploads-ssl.webflow.com/5ea9bcda01ba9a2ecbb81e43/5ea9bcda01ba9ab8aeb81f18_photo-1433245437947-a0595ee87118-square700.jpg	C:/Users/Mansi/Desktop/Mansi_Resume/colorrituals/colorrituals/uploads-ssl.webflow.com/5ea9bcda01ba9a2ecbb81e43/5ea9bcda01ba9ab8aeb81f18_photo-1433245437947-a0595ee87118-square700.jpg	(from http://colorrituals.webflow.io/)
10:11:19	19648/19648	---M-Z	200	added ('OK')	text/html	date:Mon,%2022%20Jun%202020%2008:11:25%20GMT	http://colorrituals.webflow.io/photos/lift	C:/Users/Mansi/Desktop/Mansi_Resume/colorrituals/colorrituals/colorrituals.webflow.io/photos/lift.html	(from http://colorrituals.webflow.io/)
10:11:59	19832/19832	---M-Z	200	added ('OK')	text/html	date:Mon,%2022%20Jun%202020%2008:11:27%20GMT	http://colorrituals.webflow.io/photos/dog	C:/Users/Mansi/Desktop/Mansi_Resume/colorrituals/colorrituals/colorrituals.webflow.io/photos/dog.html	(from http://colorrituals.webflow.io/)
10:12:10	84444/84444	---M--	200	added ('OK')	image/jpeg	etag:%2201dfe07ec4862fb4d50df3864cfb4532%22	https://uploads-ssl.webflow.com/5ea9bcda01ba9a2ecbb81e43/5ea9bcda01ba9aff00b81f16_photo-1436397543931-01c4a5162bdb-square700.jpg	C:/Users/Mansi/Desktop/Mansi_Resume/colorrituals/colorrituals/uploads-ssl.webflow.com/5ea9bcda01ba9a2ecbb81e43/5ea9bcda01ba9aff00b81f16_photo-1436397543931-01c4a5162bdb-square700.jpg	(from http://colorrituals.webflow.io/)
